id,name
946,Rolazone
947,Trivia for Dummies
948,Dao
949,Twixt
950,Four Dragons
951,Football Strategy
954,Pony Express
955,Super Giant Monster Showdown
956,Azteca
957,PanzerZug
958,Orcz
959,Luftschiff
960,Grapple
961,ZOKI
962,Contango
963,The Gardens of the Alhambra
964,Kapitän Wackelpudding
965,Ben Hurt
967,Kommissar X
972,Seven Deadly Sins
975,The Keep
979,The Powerpuff Girls: Saving the World Before Bedtime
980,Al Cabohne
982,Amoeba Wars
983,Tangoes
984,Name Burst
985,Corner the Market
986,Babel
987,Kingmaker
988,Zapp Zerapp
989,1848
990,90 Grad
992,Alcazar
993,An den Ufern des Nils
994,Auf Trab im Sulkydrom
997,Canaletto
999,Panda Monium
1000,Corona
1001,Vendetta
1002,Cosmic Eidex
1003,Das Regeln Wir Schon
1004,Der Feuersalamander
1005,Der Tiger ist los
1006,Die Erbraffer
1007,Die Hanse
1008,Die Schlangen von Delhi
1010,Diver
1011,Dream Team
1012,Die Magier
1013,Energie Poker
1014,Fief 2
1015,Finger weg von Mona Lisa
1016,Finito
1017,Fresh Fish
1018,Galaxis
1019,Le Gang des Traction-Avant
1021,Harun
1023,Himalaya
1027,Konzern
1028,Kraut & Rüben
1029,Lieber bairisch sterben
1031,TV Wars
1032,B-17: Queen of the Skies
1033,"Xenophon: 10,000 Against Persia"
1035,Squad Leader
1036,Speculation
1037,Deadlands: Doomtown
1038,Tantrix
1041,San Marco
1042,Dragon's Gold
1043,Pitstop
1044,Gunslinger
1045,Malawi
1046,Max.X
1047,MeM
1050,Momo
1051,Mutternland
1053,Orbit
1054,Pacific Northwest Rails
1055,Paule Panik
1056,Piratenpoker
1057,Pow Wow
1058,Rockets
1061,Sansibar
1063,Schraumen
1065,Vigo
1066,Zargos
1068,Ordino
1069,Head Quarter
1070,Waldschattenspiel
1071,Aztec
1072,Wat'n dat!?
1073,Der Schatz der Inka
1075,Big Bang
1076,Captain Future
1077,Baubylon
1079,Tokami
1080,Evolution
1081,Die Schlacht der Dinosaurier
1082,Invers
1083,Hexenjagd
1084,Das Gold der Maya
1085,Kaminett
1086,Der Schatz der Erdgeister
1087,Matschig
1088,Luftschlösser
1089,Feuer und Wasser
1090,YoYo
1091,Explosiv
1092,Die Goldene Eins
1093,Jolly Roger
1094,Assassin
1095,Mystery on the Nile
1096,Four Real
1097,Don't Give Up Your Day Job!
1098,Judge Dredd
1099,Down Fall
1100,Check the Ripper
1101,Flying Carpet
1104,Kiezkönig
1105,Titus
1107,Nyet!
1109,Last Minute
1110,Kathai
1111,Taboo
1114,Botany Bay
1115,Poker
1116,Oh Hell!
1117,You're Bluffing!
1120,Caramba!
1122,Dry Gulch
1125,Big Shot
1126,Car Wars: The Card Game
1127,Encounters
1129,Archimedes
1130,Halali
1132,Top Secret
1133,Organized Crime
1134,Road Warrior
1135,Quest For Power
1136,Domain: The Warlock's Challenge
1138,Army of Darkness
1139,Fantastische Ballonreise
1140,Ballonrennen
1141,Pass the Gas
1142,Sabotage
1143,Warrior Knights
1144,The Warlock of Firetop Mountain
1145,City of Chaos
1146,Shadowlord!
1147,Outrage! Steal the Crown Jewels
1148,Eagle Kingdoms
1149,Dragon Strike
1150,Lionheart
1151,"Money, Power, Respect"
1152,The Mystic Wood
1154,Nuts! To You
1155,Capitol
1156,Bram Stoker's Dracula: The Board Game
1157,Save Doctor Lucky
1158,Rus'
1159,Evo
1160,Boom Town
1161,Perquackey
1162,Burp
1163,"Ciao, Ciao..."
1165,Delfino
1166,Dow Jones
1167,Flower Power
1169,Geisterstunde
1170,Trick 'r Treat
1171,Picus
1172,Lucky Five
1173,Millionenspiel
1174,Minister
1175,Movies and Money
1177,Die Ritter von der Haselnuss
1178,Sphinx
1179,Tendix
1180,Tower of Babylon
1181,Tschau Knacki
1183,Walkabout
1184,Zug nach Westen
1185,Casablanca
1186,C'est la Vie
1187,The Fellowship of the Ring
1188,Chaos Marauders
1189,The King's War
1190,Continuo
1191,Card Caper
1192,Nanuuk!
1193,The Bottom Line
1194,Speed Circuit
1195,Cloudbusters
1197,Blink
1198,SET
1199,Hocus Focus
1200,Sagarian
1201,"Game, Set, Match!"
1202,The Sorcerer's Cave
1203,Witch Trial
1204,RallySport Board Game
1205,Luxor
1206,Venture
1207,Big Deal
1208,1851
1209,Pax Britannica
1210,Cults Across America
1211,Up the River
1212,Nuclear Proliferation
1213,Nuclear Escalation
1214,Kommando
1215,Monkey Memory
1216,Mystery Garden
1217,Secret Labyrinth
1218,Junior Labyrinth
1219,Labyrinth
1220,Looping
1221,Crossed Wires
1223,Fat Cats
1224,Gods
1225,Quest
1226,Babuschka
1227,Stonewall
1228,Maneuver
1231,Bausack
1232,Saludos Amigos!
1233,Facts in Five
1234,Once Upon a Time: The Storytelling Card Game
1235,Yellowstone
1236,So ein Zirkus
1237,Autoscooter
1238,Schlangennest
1240,"Right Turn, Left Turn"
1241,BattleGrid
1242,Cut and Run
1243,Split Second
1244,Meander
1245,Isis & Osiris
1246,Insecta
1247,Gangland!
1249,Safari Jack
1250,Hacker
1251,New World
1252,Pyramidis
1253,Limits
1254,Crack the Case
1255,Vegas
1256,Star Wars Episode I: Customizable Card Game
1257,Starbase Jeff
1258,Phase 10
1259,Pivot
1260,Rook
1261,Medina
1262,Axis & Allies: Pacific
1263,Knatsch
1264,Der Schattendieb
1265,Mystery Rummy: Jekyll & Hyde
1267,Polar Dare!
1268,What's That on My Head?
1269,Skip-Bo
1270,Star Wars Customizable Card Game
1271,Volltreffer
1274,Cue Me!
1275,221B Baker Street: The Master Detective Game
1277,Fish & Chips
1278,Dutch InterCity
1288,Jitters
1289,Smess: The Ninny's Chess
1290,Shifti
1291,Input
1292,Octet
1293,Boggle
1294,Clue
1295,Pente
1297,Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition
1298,Monopoly: Star Wars
1299,Trivial Pursuit: Genus IV
1300,Im Zeichen des Kreuzes
1301,Netrunner
1302,Cosmic Wimpout
1303,The Squirrel Game
1304,Credo
1305,Ulysses
1306,Krakatoa
1307,Haunted Castle
1308,Confusion
1309,Die Magier von Pangea
1310,Auf Achse: Das Kartenspiel
1312,Nur Peanuts!
1313,1826
1314,Warhamster Rally
1315,Africa
1316,Plem Plem
