game.id,details.name,details.yearpublished,game.type,attributes.boardgamecategory,price.prices,details.maxplayers,details.minplayers,details.maxplaytime,details.playingtime,details.minplaytime,details.minage
3481,Nemesis,1998,boardgame,"Book,Fighting,Miniatures,Science Fiction,Wargame",,2,2,30,30,30,8
3482,Past Lives,1988,boardgame,"Fantasy,Humor",5,8,2,60,60,60,8
3483,Pinocchio,2000,boardgame,"Bluffing,Card Game,Children's Game,Novel-based",,6,2,10,10,10,6
3484,Armada,1986,boardgame,"Exploration,Fighting,Nautical",40.00,4,2,120,120,120,10
3485,Anno Domini,1995,boardgame,"Medieval,Territory Building",18,4,4,60,60,60,10
3486,Bataclan,1997,boardgame,"Action / Dexterity,Dice,Party Game",,6,2,20,20,20,6
3487,BattleTech CCG,1996,boardgame,"Card Game,Collectible Components,Science Fiction",,2,2,20,20,20,10
3488,C-23,1998,boardgame,"Card Game,Collectible Components,Comic Book / Strip,Science Fiction",10,3,2,10,10,10,10
3489,Derby,1997,boardgame,"Card Game,Sports",,2,2,10,10,10,0
3491,Dragon Ball: Alla ricerca delle Sette Sfere,1998,boardgame,"Adventure,Fantasy",,5,3,20,20,20,0
3492,Dragon Storm,1996,boardgame,"Adventure,Card Game,Collectible Components,Exploration,Fantasy,Travel",,8,2,120,120,120,0
3493,Ferrari F1,1996,boardgame,"Racing,Sports",36,4,2,30,30,30,10
3494,Gran Gol,1998,boardgame,"Card Game,Sports",,2,2,20,20,20,8
3495,Harry Potter Trading Card Game,2001,boardgame,"Card Game,Collectible Components,Fantasy,Fighting,Novel-based","28.99, 30",2,2,20,20,20,9
3496,Il gioco del campionato,1996,boardgame,"Dice,Sports",,8,3,30,30,30,8
3497,Il Gioco del West,0,boardgame,American West,,4,2,45,45,45,8
3498,Il gioco della Formula Uno,1996,boardgame,"Racing,Sports",,6,2,20,20,20,8
3499,3-D Chess,1977,boardgame,"Abstract Strategy,Movies / TV / Radio theme","39.99, 32.14, 150, 20",2,2,90,90,90,0
3500,Schmuggler an Bord,1992,boardgame,Memory,,6,3,30,30,30,8
3501,Fantasy,1990,boardgame,"Exploration,Fantasy",,6,3,60,60,60,0
3502,Star of the Guardians,1995,boardgame,"Card Game,Collectible Components,Fighting,Science Fiction",1.99,2,2,20,20,20,10
3503,Star Quest,1995,boardgame,"Card Game,Collectible Components,Fighting,Science Fiction","40, 10",8,2,30,30,30,10
3504,Super Deck!,1994,boardgame,"Card Game,Collectible Components,Math,Science Fiction",,2,2,20,20,20,12
3505,Super Pippo,1977,boardgame,"Action / Dexterity,Children's Game,Puzzle",,4,2,30,30,30,8
3506,D3 Time Warriors,1996,boardgame,"Fighting,Miniatures,Science Fiction,Wargame",,2,2,30,30,30,10
3507,By Golly!,2001,boardgame,"Animals,Card Game,Children's Game,Memory","19.95, 13.81, 7",6,2,15,15,15,5
3508,Hold Everything!,1996,boardgame,"Action / Dexterity,Card Game,Party Game",10,6,2,20,20,20,6
3509,Alfreds Other Game,1985,boardgame,Word Game,,4,1,60,60,60,8
3510,Battle of the Sexes,1997,boardgame,"Party Game,Trivia",3510,8,2,45,45,45,12
3511,The Christmas Game,1983,boardgame,Children's Game,,4,2,45,45,45,5
3512,Doorways to Adventure,1986,boardgame,Adventure,"8, 10, 25",6,2,60,60,60,10
3513,Electronic Stratego,1982,boardgame,"Abstract Strategy,Bluffing,Deduction,Electronic,Memory,Napoleonic,Wargame",,2,2,60,60,60,8
3514,Game of Knowledge,1995,boardgame,Trivia,10,10,2,60,60,60,10
3515,"Men Are from Mars, Women Are from Venus",1998,boardgame,Party Game,"26.48, 3, 24, 12",0,4,60,60,60,18
3516,Option,1982,boardgame,Word Game,6,4,2,60,60,60,8
3517,Tornado Rex,1991,boardgame,"Action / Dexterity,Children's Game,Racing",,4,2,30,30,30,6
3518,Napoleon in Europe,2001,boardgame,"Napoleonic,Political,Wargame",150,7,2,360,360,360,10
3519,Millionary,2001,boardgame,Economic,,6,3,120,120,120,14
3520,U.E.F.A.,1996,boardgame,Sports,,2,2,10,10,10,8
3521,Your America,1970,boardgame,Trivia,"20, 20",4,2,60,60,60,10
3522,LCR,1983,boardgame,Dice,"2.70, 3, 5, 7",12,3,20,20,20,5
3523,Decision At Kasserine,1983,boardgame,"Wargame,World War II",,4,1,300,300,300,12
3524,Geeks: The Convention,2001,boardgame,"Card Game,Humor",3524,5,2,20,20,20,0
3525,Act One,1995,boardgame,"Action / Dexterity,Movies / TV / Radio theme,Party Game,Trivia",,99,4,30,30,30,12
3527,Iliad,1979,boardgame,"Ancient,Wargame",,2,2,240,240,240,12
3528,Priceless,1996,boardgame,"Economic,Negotiation",15,4,2,45,45,45,13
3529,Vampire Hunter,2002,boardgame,Horror,"42.96, 21, 24",4,2,30,30,30,9
3530,Stars On Stripes Football Game,1941,boardgame,Sports,3530,4,2,60,60,60,0
3531,The Return of the Stainless Steel Rat,1981,boardgame,"Murder/Mystery,Novel-based,Science Fiction",,2,1,60,60,60,10
3532,Damocles Mission,1983,boardgame,Science Fiction,,1,1,60,60,60,10
3533,Arena of Death,1980,boardgame,"Fantasy,Fighting,Wargame","10, 20, 19",20,2,90,90,90,10
3534,Star Trader,1982,boardgame,"Economic,Science Fiction",,6,2,180,180,180,12
3535,Nightmare House,1983,boardgame,Horror,3535,5,1,90,90,90,10
3536,1-2-3 OY!,1994,boardgame,"Card Game,Children's Game,Educational,Math",,5,1,10,10,10,5
3537,A-B-C OY!,1994,boardgame,"Card Game,Children's Game,Word Game",,5,1,10,10,10,4
3538,Gnome's War,2001,boardgame,"Fantasy,Territory Building",,4,2,120,120,120,12
3539,Largo Winch,2002,boardgame,"Adventure,Comic Book / Strip,Movies / TV / Radio theme",,6,2,90,90,90,8
3540,Tic Tac Chec,1995,boardgame,Abstract Strategy,3540,2,2,10,10,10,0
3541,Noble Celts,1993,boardgame,Abstract Strategy,,2,2,30,30,30,0
3542,XIII: Le Complot,2001,boardgame,"Adventure,Murder/Mystery",,4,2,90,90,90,10
3543,Spider-Man,2002,boardgame,"Comic Book / Strip,Movies / TV / Radio theme",50,6,2,90,90,90,12
